텍스트,분류 1차,분류 2차,자동 생성 제목,반려 사유,반려 사유(요약),이미지 여부,템플릿 코드
"안녕하세요, 봉국어학원입니다. 학원 공지사항 전달드립니다.  ▶ 공지 : #{제목}",서비스이용,이용안내/공지,(전용) 공지사항 전달_이미지형_01 / 봉국어학원,"안녕하세요. 카카오톡 알림톡 검수 담당자입니다.  1.  알림톡은 어뷰징 우려가 없는 정보성 메시지에 한하여 발송 가능하오나,  '알림장'은 구체적이지 않은 광범위한 말머리로 어뷰징 우려가 존재하여 알림톡 발송이 불가합니다.    따라서 메시지 발송 목적이 명확하게 확인 가능하도록 보다 구체적인 말머리 및 내용을 고정값으로 추가 기재 요청드리며  만약 발송하시려는 내용이 다양함에 따라 고정값으로 기재 어려우실 경우, 발송 목적별로 템플릿을 분리하시어 추가 등록 부탁드립니다.    참고 예시▼  [#{학원명} 시간표 알림]  2. 신청하신 메시지는 텍스트 혼합 이미지형 메시지로 수정이 필요한 부분이 확인되어 아래 간략한 가이드 안내 드립니다. - 텍스트 영역은 좌측 상단, 좌측정렬 고정이며, 가로 540x 세로240px, 좌측여백 36px, 상단 여백42px, 행간74을 준수하여야 합니다.  더 자세한 이미지 알림톡 검수 가이드는 딜러사 또는 아래 링크를 통해 확인 부탁드립니다. ㄴ 이미지 제작 가이드 : https://kakaobusiness.gitbook.io/main/ad/bizmessage/notice-friend/content-guide/image  감사합니다. 안녕하세요. 카카오톡 알림톡 검수 담당자입니다.  알림톡은 어뷰징 우려가 없는 정보성 메시지에 한하여 발송 가능하오나, '알림장'은 구체적이지 않은 광범위한 말머리로 어뷰징 우려가 존재하여 알림톡 발송이 불가합니다.  따라서 메시지 발송 목적이 명확하게 확인 가능하도록 보다 구체적인 말머리 및 내용을 고정값으로 추가 기재 요청드리며 만약 발송하시려는 내용이 다양함에 따라 고정값으로 기재 어려우실 경우, 발송 목적별로 템플릿을 분리하시어 추가 등록 부탁드립니다.  참고 예시▼ [#{학원명} 시간표 알림]  더 자세한 이미지 알림톡 검수 가이드는 딜러사를 통해 확인 부탁드립니다. 감사합니다.",반려 사유 요약: 1. '알림장' 메시지가 구체적이지 않고 어뷰징 우려가 있어 발송 불가 2. 텍스트 혼합 이미지형 메시지의 텍스트 영역 및 사이즈 조건 미준수,"""c0014_class_noti_img_01""",O
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
■ #{제목}  #{추가 메시지}  > #{수신자}님께 온 문서를 확인해 주세요.  #{수신거부 - 수신거부링크},서비스이용,이용안내/공지,(공용/수신거부) 문서 도착 알림__이미지형_05,"안녕하세요. 카카오톡 알림톡 검수 담당자입니다.  알림톡은 어뷰징 우려가 없는 정보성 메시지에 한하여 발송 가능합니다. 허나 해당 메시지 확인 시 발송 목적이 확인되는 문구들이 변수 내용으로 기재되어 어뷰징 우려가 확인됩니다. 따라서 어뷰징 요소가 없도록 발송 목적에 대한 최소한의 고정값을 추가하여 주시기 바랍니다.  * 해당 메시지로 다양한 수신자에게 발송함에 따라 변수 내용 수정이 어려우실 경우 메시지 발송 목적별로 템플릿 추가 세팅을 요청드립니다.  더 자세한 알림톡 검수 가이드는 딜러사를 통해 확인 부탁드립니다. 감사합니다.",변수 내용으로 어뷰징 우려가 확인되어 발송 목적에 대한 최소한의 고정값 추가 요청.,X,doc_received_r_img_05
■ #{제목}  #{추가 메시지}  > #{발신 스페이스}에서 발송한 문서를 확인해 주세요.  #{수신거부 - 수신거부링크},서비스이용,이용안내/공지,(공용/수신거부) 문서 도착 알림__이미지형_04,"안녕하세요. 카카오톡 알림톡 검수 담당자입니다.  알림톡은 어뷰징 우려가 없는 정보성 메시지에 한하여 발송 가능합니다. 허나 해당 메시지 확인 시 발송 목적이 확인되는 문구들이 변수 내용으로 기재되어 어뷰징 우려가 확인됩니다. 따라서 어뷰징 요소가 없도록 발송 목적에 대한 최소한의 고정값을 추가하여 주시기 바랍니다.  * 해당 메시지로 다양한 수신자에게 발송함에 따라 변수 내용 수정이 어려우실 경우 메시지 발송 목적별로 템플릿 추가 세팅을 요청드립니다.  더 자세한 알림톡 검수 가이드는 딜러사를 통해 확인 부탁드립니다. 감사합니다.",변수 내용으로 어뷰징 우려가 확인되어 발송 목적에 대한 최소한의 고정값 추가 요청.,X,doc_received_r_img_04
"■ #{제목}  #{추가 메시지}  > #{수신자}님, #{발신 스페이스}에서 보낸 문서를 확인해 주세요.  #{수신거부 - 수신거부링크}",서비스이용,이용안내/공지,(공용/수신거부) 문서 도착 알림__이미지형_03,"안녕하세요. 카카오톡 알림톡 검수 담당자입니다.  알림톡은 어뷰징 우려가 없는 정보성 메시지에 한하여 발송 가능합니다. 허나 해당 메시지 확인 시 발송 목적이 확인되는 문구들이 변수 내용으로 기재되어 어뷰징 우려가 확인됩니다. 따라서 어뷰징 요소가 없도록 발송 목적에 대한 최소한의 고정값을 추가하여 주시기 바랍니다.  * 해당 메시지로 다양한 수신자에게 발송함에 따라 변수 내용 수정이 어려우실 경우 메시지 발송 목적별로 템플릿 추가 세팅을 요청드립니다.  더 자세한 알림톡 검수 가이드는 딜러사를 통해 확인 부탁드립니다. 감사합니다.",변수 내용으로 기재된 발송 목적이 확인되어 어뷰징 우려가 있어서 반려되었습니다.,X,doc_received_r_img_03
"> #{수신자}님, #{발신 스페이스}에서 보낸 문서를 확인해 주세요.  ■ #{제목}  #{추가 메시지}  #{수신거부 - 수신거부링크}",서비스이용,이용안내/공지,(공용/수신거부) 문서 도착 알림__이미지형_02,"안녕하세요. 카카오톡 알림톡 검수 담당자입니다.  알림톡은 어뷰징 우려가 없는 정보성 메시지에 한하여 발송 가능합니다. 허나 해당 메시지 확인 시 발송 목적이 확인되는 문구들이 변수 내용으로 기재되어 어뷰징 우려가 확인됩니다. 따라서 어뷰징 요소가 없도록 발송 목적에 대한 최소한의 고정값을 추가하여 주시기 바랍니다.  * 해당 메시지로 다양한 수신자에게 발송함에 따라 변수 내용 수정이 어려우실 경우 메시지 발송 목적별로 템플릿 추가 세팅을 요청드립니다.  더 자세한 알림톡 검수 가이드는 딜러사를 통해 확인 부탁드립니다. 감사합니다.",변수 내용으로 기재된 발송 목적이 확인되어 어뷰징 우려가 있으므로 최소한의 고정값을 추가해야 합니다.,X,doc_received_r_img_02
■ 발신 : #{발신 스페이스} ■ 제목 : #{제목}  #{수신자}님께 온 문서를 확인해 주세요.  #{추가 메시지}  #{수신거부 - 수신거부링크},서비스이용,이용안내/공지,(공용/수신거부) 문서 도착 알림__이미지형_01,"안녕하세요. 카카오톡 알림톡 검수 담당자입니다.  알림톡은 어뷰징 우려가 없는 정보성 메시지에 한하여 발송 가능합니다. 허나 해당 메시지 확인 시 발송 목적이 확인되는 문구들이 변수 내용으로 기재되어 어뷰징 우려가 확인됩니다. 따라서 어뷰징 요소가 없도록 발송 목적에 대한 최소한의 고정값을 추가하여 주시기 바랍니다.  * 해당 메시지로 다양한 수신자에게 발송함에 따라 변수 내용 수정이 어려우실 경우 메시지 발송 목적별로 템플릿 추가 세팅을 요청드립니다.  더 자세한 알림톡 검수 가이드는 딜러사를 통해 확인 부탁드립니다. 감사합니다.",변수 내용으로 어뷰징 우려가 확인되어 발송 목적에 대한 최소한의 고정값을 추가해야 함.,X,doc_received_r_img_01
"안녕하세요, #{발신 스페이스}입니다. 고객님께서 보유하신 미사용 적립금이 #{자동 소멸 예정일}에 소멸될 예정입니다.  소멸 예정 금액: #{적립금}원  자세한 사항은 고객센터로 문의해 주세요.",서비스이용,이용도구,(공용) 적립금 소멸 안내 알림_이미지형_02,"안녕하세요. 카카오톡 알림톡 검수 담당자입니다.  1. 쿠폰 및 포인트 소멸 안내는 본 메시지를 발송하는 업체명(ooo)이 고정값으로 기재되어야 합니다. 해당 메시지 내 발송 업체명을 고정값으로 추가하여 주시기 바랍니다.  2. 쿠폰(마일리지, 포인트, 적립금 포함) 지급/소멸 안내 템플릿의 경우 템플릿 본문 상단 또는 하단에 혜택 지급/소멸 안내에 대한 발송 근거가 고정값으로 기재되어야 합니다. 해당 메시지 내 혜택 지급/소멸 안내에 대한 '발송 근거' 문구를 추가하여 주시기 바랍니다.  * 발송근거는 아래 가이드 문구로 기재할 수 있으며, 메시지에 따라 발송근거를 더욱 명확하게 기재하기 위해 가이드 문구를 일부 수정하여 기재할 수 있습니다.  [발송근거 가이드 문구] - 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다. - 이 메시지는 고객님이 참여한 이벤트 당첨으로 지급된 쿠폰 안내 메시지입니다. - 이 메시지는 이용약관(계약서) 동의에 따라 지급된 쿠폰 안내 메시지입니다. - 이 메시지는 서비스 만족도조사에 참여하신 고객님들께 지급된 쿠폰 안내 메시지입니다. - 이 메시지는 구매하신 상품(서비스)의 사은품으로 지급된 쿠폰 안내 메시지입니다.  * 단순 사업자가 일방적으로 제공하는 혜택은 알림톡 발송 대상이 아닌 점 참고하시기 바랍니다. * 쿠폰 지급/소멸 안내 가이드가 변경되어 상기와 같이 안내드리는 점 참고 부탁드립니다.  더 자세한 알림톡 검수 가이드는 딜러사를 통해 확인 부탁드립니다. 감사합니다.",업체명과 발송 근거가 고정값으로 기재되지 않아서 반려되었습니다.,X,link_point_expired_img_01
"안녕하세요, #{발신 스페이스}입니다. 고객님께서 보유하신 미사용 적립금이 #{자동 소멸 예정일}에 소멸될 예정입니다.  - 소멸 예정 금액: #{적립금}원  자세한 사항은 고객센터로 문의해 주세요.",서비스이용,이용도구,(공용) 적립금 소멸 안내_이미지형_01,"안녕하세요. 카카오톡 알림톡 검수 담당자입니다.  1. 쿠폰 및 포인트 소멸 안내는 본 메시지를 발송하는 업체명#{발신 스페이스}이 고정값으로 기재되어야 합니다. 해당 메시지 내 발송 업체명을 고정값으로 추가하여 주시기 바랍니다.  2. 쿠폰(마일리지, 포인트, 적립금 포함) 지급/소멸 안내 템플릿의 경우 템플릿 본문 상단 또는 하단에 혜택 지급/소멸 안내에 대한 발송 근거가 고정값으로 기재되어야 합니다. 해당 메시지 내 혜택 지급/소멸 안내에 대한 '발송 근거' 문구를 추가하여 주시기 바랍니다.  * 발송근거는 아래 가이드 문구로 기재할 수 있으며, 메시지에 따라 발송근거를 더욱 명확하게 기재하기 위해 가이드 문구를 일부 수정하여 기재할 수 있습니다.  [발송근거 가이드 문구] - 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다. - 이 메시지는 고객님이 참여한 이벤트 당첨으로 지급된 쿠폰 안내 메시지입니다. - 이 메시지는 이용약관(계약서) 동의에 따라 지급된 쿠폰 안내 메시지입니다. - 이 메시지는 서비스 만족도조사에 참여하신 고객님들께 지급된 쿠폰 안내 메시지입니다. - 이 메시지는 구매하신 상품(서비스)의 사은품으로 지급된 쿠폰 안내 메시지입니다.  * 단순 사업자가 일방적으로 제공하는 혜택은 알림톡 발송 대상이 아닌 점 참고하시기 바랍니다. * 쿠폰 지급/소멸 안내 가이드가 변경되어 상기와 같이 안내드리는 점 참고 부탁드립니다.  더 자세한 알림톡 검수 가이드는 딜러사를 통해 확인 부탁드립니다. 감사합니다.",업체명 및 발송 근거 고정값 미포함으로 인한 반려.,X,msg_point_expired_img_01
